序号,所属平台,订单号,下单用户,规格,总金额,运费,快递单号,快递公司
"	70","	微信","	20210605100336265934","	罗伊斯争第一","	类型：竖版（XDU），",44.00,,"	","	"
"	71","	微信","	20210605100336265934","	罗伊斯争第一","	束口包：210D，",44.00,,"	","	"
"	72","	微信","	20210605100336265934","	罗伊斯争第一","	颜色：灰色，",44.00,,"	","	"
"	73","	微信","	20210603215301222661","	Rewind.","	规格：默认，",28.00,13.00,"	75475293010386","	中通快递"
"	74","	微信","	20210522175302971124","	自渡°","	规格：默认，",15.00,,"	","	"
"	75","	微信","	20210520155213548709","	风书","	规格：默认，",24.00,,"	","	"
"	76","	微信","	20210518180052893347","	Yuuzy（0_o版）","	规格：萬事勝意，",77.40,,"	","	"
"	77","	微信","	20210518180052893347","	Yuuzy（0_o版）","	规格：平安喜樂，",77.40,,"	","	"
"	78","	微信","	20210518180052893347","	Yuuzy（0_o版）","	规格：默认，",77.40,,"	","	"
"	79","	微信","	20210518180052893347","	Yuuzy（0_o版）","	规格：默认，",77.40,,"	","	"
"	80","	微信","	20210516225348847228","	Change","	规格：默认，",61.00,13.00,"	75484077594573","	中通快递"
"	81","	微信","	20210516185555733258","	萝卜","	规格：默认，",120.00,0.00,"	75467420136027","	中通快递"
"	82","	微信","	20210516131420552803","	豪哥正在召唤你：）","	书包：红蓝，",88.00,0.00,"	75484079286363","	中通快递"
"	83","	微信","	20210512204418442041","	Yuuzy（0_o版）","	内存：16G，接口：3.0，",48.00,,"	","	"
"	84","	微信","	20210507195327285625","	史甘甘","	规格：默认，",24.00,,"	","	"
"	85","	微信","	20210505151238389849","	dancer","	规格：默认，",12.00,,"	","	"
"	86","	微信","	20210429205800589224","	铭仔","	规格：默认，",48.00,,"	","	"
"	87","	微信","	20210428141256603209","	哔哩哔哩哒","	规格：默认，",32.00,,"	","	"
"	88","	微信","	20210428141256603209","	哔哩哔哩哒","	仅支持自提（勿拍）：黑色（蝴蝶扣），",32.00,,"	","	"
"	89","	微信","	20210419220511641793","	Comedian","	规格：默认，",168.00,,"	","	"
"	90","	微信","	20210419220511641793","	Comedian","	杯子：黑色-礼盒装，",168.00,,"	","	"
"	91","	微信","	20210419220511641793","	Comedian","	颜色：绿色，",168.00,,"	","	"
"	92","	微信","	20210415075020668204","	zephyr","	颜色：浅灰，",19.00,,"	","	"
"	93","	微信","	20210411193019554297","	Lec","	规格：默认，",24.00,,"	","	"
"	94","	微信","	20210410225915200479","	ms","	束口包：420D，",16.00,,"	","	"
"	95","	微信","	20210406161548859606","	ms","	规格：默认，",15.00,,"	","	"
"	96","	微信","	20210328135027252814","	张泽阳","	套餐：观光塔，",139.00,0.00,"	75451153119736","	中通快递"
"	97","	微信","	20210324113427465873","	Chanson","	规格：默认，",28.00,13.00,"	75452235194132","	中通快递"
